"Name","HireDate","JobTitle15","Agency15","AgencyDept15","AgencyID15","AnnualSalary15","GrossPay15","JobTitle14","Agency14","AgencyDept14","AgencyID14","AnnualSalary14","GrossPay14","JobTitle13","Agency13","AgencyDept13","AgencyID13","AnnualSalary13","GrossPay13","JobTitle12","Agency12","AgencyDept12","AgencyID12","AnnualSalary12","GrossPay12","JobTitle11","Agency11","AgencyDept11","AgencyID11","AnnualSalary11","GrossPay11"
"BPD 1",2200-01-01,"BPD 1","Police Department","Police Department","A99200",74517,82987.87,"BPD","Police Department","Police Department","A99200",60598,74946.5,"BPD","Police Department","Police Department","A99334",61157,92411.1,"BPD 1","Police Department","Police Department","A99",88565,93670.71,"BPD","Police Department","Police Department","A99",85372,89289.55
"BPD 10",2200-01-01,"BPD 10","Police Department","Police Department","A99200",66086,104205.83,"BPD","Police Department","Police Department","A99200",56312,55117.36,"BPD","Police Department","Police Department","A99334",65020,94672.22,"BPD 10","Police Department","Police Department","A99",69893,77960.64,"BPD","Police Department","Police Department","A99",68523,85543.01
"BPD 11",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",65351,67579.48,"BPD","Police Department","Police Department","A99334",69893,85583.51,"BPD 11","Police Department","Police Department","A99",62905,74054.18,"BPD","Police Department","Police Department","A99",61672,64022.42
"BPD 12",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",60598,62915.4,"BPD","Police Department","Police Department","A99347",65816,77535.5,"BPD 12","Police Department","Police Department","A99",66982,81538.8,"BPD","Police Department","Police Department","A99",66810,103010.67
"BPD 13",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",64163,66005.42,"BPD","Police Department","Police Department","A99295",62324,65310.25,"BPD 13","Police Department","Police Department","A99",61157,104830.63,"BPD","Police Department","Police Department","A99",59388,95306.43
"BPD 14",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",64163,65174.28,"BPD","Police Department","Police Department","A99347",62324,72899.6,"BPD 14","Police Department","Police Department","A99",69893,79995.18,"BPD","Police Department","Police Department","A99",65669,85301.42
"BPD 15",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99070",65945,82630.77,"BPD","Police Department","Police Department","A99295",64422,69101.24,"BPD 15","Police Department","Police Department","A99",83141,87666.8,"BPD","Police Department","Police Department","A99",61102,69834.6
"BPD 16",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",60004,60587.41,"BPD","Police Department","Police Department","A99347",78746,89684.36,"BPD 16","Police Department","Police Department","A99",87514,98164.83,"BPD","Police Department","Police Department","A99",62242,76527.4
"BPD 17",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",68322,71790.47,"BPD","Police Department","Police Department","A99334",66400,74504.44,"BPD 17","Police Department","Police Department","A99",78035,100944.68,"BPD","Police Department","Police Department","A99",83578,89803.4
"BPD 18",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99333",64163,78356.06,"BPD","Police Department","Police Department","A99334",69893,94320.55,"BPD 18","Police Department","Police Department","A99",80366,83587.9,"BPD","Police Department","Police Department","A99",75833,91186.84
"BPD 19",2200-01-01,,,,,,,"BPD","Police Department","Police Department","A99200",62380,84153,"BPD","Police Department","Police Department","A99347",66982,80315.53,"BPD 19","Police Department","Police Department","A99",75679,74738.63,"BPD","Police Department","Police Department","A99",72737,126948.27
"BPD 2",2200-01-01,"BPD 2","Police Department","Police Department","A99200",67681,73054.38,"BPD","Police Department","Police Department","A99200",60598,62333.13,"BPD","Police Department","Police Department","A99295",64652,67435.92,"BPD 2","Police Department","Police Department","A99",78035,86131.51,"BPD","Police Department","Police Department","A99",74803,95970.36
